year,ndwi
2019,0.228
2019,0.572
2019,0.501
2019,0.267
2019,0.112
2019,0.206
2019,-0.202
2019,-0.096
2019,0.07
2019,-0.152
2019,0.029
2019,-0.074
2019,-0.191
2019,-0.115
2019,-0.089
2019,0.028
2019,0.076
2019,-0.163
2019,-0.126
2019,-0.047
2019,0.095
2019,
2019,
2019,0.233
2019,0.037
2019,0.093
2019,-0.086
2019,-0.047
2019,-0.099
2019,0.055
2019,0.296
2019,-0.005
2019,-0.057
2019,-0.094
2019,-0.028
2019,0.092
2019,-0.062
2019,-0.013
2019,-0.003
2019,-0.05
2019,-0.042
2019,-0.073
2019,0.051
2019,0.189
2019,0.008
2019,-0.089
2019,-0.116
2019,-0.046
2019,0.054
2019,-0.124
2019,-0.095
2019,
2019,0.004
2019,0.087
2019,-0.004
2019,-0.061
2019,
2019,
2019,0.01
2019,-0.105
2019,-0.012
2019,-0.035
2019,-0.154
2019,-0.12
2019,-0.155
2019,
2019,0.035
2019,-0.109
2019,-0.011
2019,-0.034
2019,-0.156
2019,-0.129
2019,-0.063
2019,
2019,0.006
2019,-0.076
2019,
2019,
2019,0.053
2019,-0.046
2019,-0.031
2019,
2019,
2019,0.115
2019,-0.164
2019,-0.079
2019,0.014
2019,-0.139
2019,-0.177
2019,
2019,-0.135
2019,-0.027
2019,0.019
2019,-0.083
2019,-0.171
2019,-0.08
2019,0.026
2019,-0.104
2019,-0.016
2019,
2019,-0.182
2019,
2019,-0.131
2019,-0.003
2019,0.08
2019,
2019,
2019,0.079
2019,
2019,0.063
2019,-0.132
2019,-0.006
2019,
2019,-0.176
2019,-0.144
2019,
2019,0.101
2019,0.01
2019,-0.088
2019,-0.174
2019,
2019,0.086
2019,-0.137
2019,
2019,-0.048
2019,0.014
2019,-0.124
2019,
2019,0.075
2019,-0.041
2019,-0.029
2019,0.075
2019,-0.186
2019,
2019,
2019,
2019,0.116
2019,
2019,
2019,
2019,
2019,-0.058
2019,-0.19
2019,-0.146
2019,-0.139
2019,-0.006
2019,0.091
2019,
2019,-0.098
2019,-0.183
2019,-0.099
2019,0.071
2019,-0.075
2019,
2019,
2019,
2019,0.386
2019,0.292
2019,0.212
2019,-0.032
2019,
2019,-0.136
2019,0.07
2019,
2019,
2019,
2019,
2019,
2019,0.152
2019,0.126
2019,-0.062
2019,
2019,
2019,0.197
2019,0.243
2019,
2019,0.417
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,0.258
2019,
2019,
2020,
2020,
2020,
2020,0.219
2020,
2020,
2020,
2020,
2020,0.699
2020,0.551
2020,
2020,0.177
2020,
2020,
2020,
2020,-0.022
2020,0.122
2020,
2020,
2020,
2020,0.123
2020,0.138
2020,0.167
2020,
2020,-0.105
2020,-0.113
2020,-0.092
2020,-0.025
2020,-0.156
2020,
2020,-0.015
2020,-0.171
2020,-0.117
2020,-0.134
2020,0.048
2020,0.132
2020,
2020,-0.116
2020,-0.148
2020,-0.04
2020,-0.103
2020,-0.176
2020,
2020,-0.142
2020,
2020,0.049
2020,0.011
2020,-0.01
2020,
2020,-0.121
2020,-0.003
2020,
2020,-0.038
2020,-0.022
2020,-0.111
2020,
2020,0.177
2020,0.192
2020,
2020,-0.09
2020,-0.065
2020,-0.113
2020,0.012
2020,-0.038
2020,-0.1
2020,-0.138
2020,-0.102
2020,-0.125
2020,
2020,
2020,-0.123
2020,-0.11
2020,0.055
2020,-0.161
2020,
2020,0.035
2020,-0.133
2020,-0.034
2020,-0.033
2020,-0.161
2020,-0.126
2020,-0.138
2020,-0.03
2020,0.057
2020,-0.026
2020,-0.056
2020,-0.174
2020,-0.103
2020,0.03
2020,
2020,-0.02
2020,-0.041
2020,-0.183
2020,
2020,
2020,-0.022
2020,0.048
2020,0.008
2020,-0.075
2020,-0.144
2020,-0.07
2020,0.053
2020,-0.051
2020,-0.191
2020,
2020,-0.156
2020,-0.046
2020,0.043
2020,0.011
2020,-0.089
2020,-0.177
2020,-0.091
2020,0.012
2020,-0.143
2020,-0.018
2020,-0.05
2020,-0.21
2020,-0.146
2020,-0.158
2020,-0.054
2020,0.019
2020,-0.183
2020,-0.13
2020,-0.142
2020,-0.019
2020,-0.052
2020,-0.194
2020,-0.145
2020,0.039
2020,-0.16
2020,-0.082
2020,
2020,-0.144
2020,-0.022
2020,-0.049
2020,-0.203
2020,
2020,-0.141
2020,-0.029
2020,0.034
2020,
2020,-0.187
2020,-0.106
2020,0.063
2020,-0.2
2020,-0.153
2020,-0.143
2020,
2020,0.017
2020,-0.008
2020,-0.164
2020,-0.117
2020,0.048
2020,-0.147
2020,-0.043
2020,
2020,
2020,
2020,-0.188
2020,-0.12
2020,0.059
2020,-0.148
2020,
2020,-0.074
2020,-0.198
2020,-0.155
2020,
2020,-0.037
2020,-0.096
2020,-0.192
2020,
2020,0.046
2020,
2020,
2020,
2020,-0.182
2020,-0.1
2020,0.002
2020,-0.039
2020,-0.104
2020,-0.194
2020,-0.123
2020,0.089
2020,
2020,
2020,
2020,0.059
2020,0.006
2020,
2020,-0.061
2020,
2020,
2020,-0.005
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,0.112
2020,
2020,
2020,
2020,0.729
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,-0.037
